j_name,seed,a5_init,final_states,stable_tracks,geo_score,node_count,edge_count,component_count,largest_component,mean_geodesic_d,max_geodesic_d,clustering_coeff,mean_edge_K,sparsity,diameter,e_per_n,regime,final_avg_memory
phi_exp,6,False,120,32,0.4524697009546518,32,21,18,8,1.523260685759702,3.6144682872985365,0.19583333333333333,0.43654562101873473,0.9577,3.6145,0.656,geometrisch,0.20169260901824096
phi_exp,7,False,120,28,0.4256986165083243,28,18,16,7,1.1898009015950568,2.2483391216052575,0.20714285714285713,0.44798516538649297,0.9524,2.2483,0.643,geometrisch,0.29314917615264807
phi_exp,8,False,31,34,0.3944930964663741,34,21,17,5,1.2152266352098344,2.181295660835266,0.14705882352941177,0.4096094742513749,0.9626,2.1813,0.618,geometrisch,0.41238424272097585
phi_exp,9,False,120,32,0.5073717355580795,32,26,15,9,1.6413680444949215,3.5136339704546886,0.3229166666666667,0.4054404558534288,0.9476,3.5136,0.812,geometrisch,0.19228678296529744
phi_exp,10,False,120,29,0.4698466218961853,29,22,13,8,1.8750427827512912,5.019591762253743,0.15517241379310345,0.3713531459080413,0.9458,5.0196,0.759,geometrisch,0.1818430539269581
phi_exp,11,False,120,28,0.40757701819941733,28,20,11,5,1.3637117925597741,3.4015168560343607,0.14285714285714285,0.4571963157689521,0.9471,3.4015,0.714,geometrisch,0.16762790118300722
phi_exp,12,False,33,33,0.4154922224589528,33,19,18,6,1.6169959643305702,4.821704236846562,0.12121212121212122,0.4432261311826481,0.964,4.8217,0.576,geometrisch,0.4348321884104342
phi_exp,13,False,120,28,0.39933129350167995,28,13,17,6,1.5867020605097888,2.6212793915898174,0.10238095238095238,0.34279326344309685,0.9656,2.6213,0.464,unterkritisch,0.21023512914096734
phi_exp,14,False,120,36,0.3816909516172974,36,18,22,6,1.548219032345947,3.616766009894894,0.0,0.39569525528226235,0.9714,3.6168,0.5,geometrisch,0.2529865085579281
icosahedral_a5,0,False,120,36,0.8497526065833116,36,84,1,36,3.5668764702905693,8.072695768151403,0.49034391534391536,0.3512105559917152,0.8667,8.0727,2.333,geometrisch,0.3863472789578376
icosahedral_a5,1,False,120,34,0.8357377140868923,34,70,3,32,3.3584920968638965,7.550148401747146,0.46386554621848736,0.3967056108965487,0.8752,7.5501,2.059,geometrisch,0.3579170674895736
icosahedral_a5,2,False,120,35,0.8286623464327932,35,65,1,35,3.8593122347783138,8.863266551953215,0.35918367346938773,0.3579666739041835,0.8908,8.8633,1.857,geometrisch,0.3299837895860974
icosahedral_a5,3,False,120,29,0.7789011494252873,29,41,5,25,4.033418194133582,9.45476799254623,0.2885057471264368,0.3886715158060973,0.899,9.4548,1.414,geometrisch,0.408493539338754
icosahedral_a5,4,False,120,25,0.8001333878269848,25,37,3,22,3.916058232730172,9.359960922756308,0.40495238095238095,0.39497759975875846,0.8767,9.36,1.48,geometrisch,0.41745041048707643
icosahedral_a5,5,False,120,28,0.7867791836734694,28,44,1,28,4.9754908455788955,13.294298905862414,0.26479591836734695,0.4156788400358518,0.8836,13.2943,1.571,geometrisch,0.4089640329925713
icosahedral_a5,6,False,120,27,0.7768451851851853,27,42,2,26,4.424854319999842,10.891874073015774,0.22592592592592592,0.36731233234522787,0.8803,10.8919,1.556,geometrisch,0.39619586667944906
